time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-02-26T01:40:31.794Z,-15.998,-72.061,10,4.1,mb,21,178,2.875,0.66,us,us7000m1kb,2024-03-12T22:43:11.040Z,"5 km WNW of Lluta, Peru",earthquake,11.22,1.994,0.123,18,reviewed,us,us
2024-01-19T12:19:14.601Z,-15.3752,-71.7293,131.142,4.8,mb,72,101,3.083,0.79,us,us6000m4nc,2024-03-29T17:37:54.040Z,"25 km NW of Tuti, Peru",earthquake,9.26,5.631,0.041,180,reviewed,us,us
2023-12-10T16:10:55.405Z,-15.6591,-72.2564,11.469,4,mb,12,128,3.26,1.18,us,us7000lhxu,2024-02-17T22:43:05.040Z,"3 km NE of Ayo, Peru",earthquake,11.74,2.884,0.26,7,reviewed,us,us
2023-10-31T22:13:49.191Z,-15.6045,-71.7692,10,4.5,mb,39,134,2.952,0.85,us,us7000l7xx,2024-01-18T21:11:05.637Z,"4 km N of Maca, Peru",earthquake,10.59,1.866,0.088,38,reviewed,us,us
2023-10-24T20:21:49.908Z,-15.5587,-71.9403,120.049,4.4,mb,53,96,3.105,0.93,us,us7000l62h,2024-01-04T04:22:07.040Z,"2 km N of Tapay, Peru",earthquake,4.47,6.472,0.086,46,reviewed,us,us
2023-09-15T05:00:36.048Z,-15.9589,-72.0136,123.91,4.1,mb,15,139,2.882,1.07,us,us7000kvwd,2023-11-18T22:29:34.040Z,"6 km N of Lluta, Peru",earthquake,5.59,12.958,0.185,8,reviewed,us,us
2023-07-24T04:14:32.535Z,-16.1473,-72.0189,106.966,4.2,mb,12,184,2.731,0.58,us,us6000kxa2,2023-09-30T21:36:35.040Z,"14 km S of Lluta, Peru",earthquake,13.17,10.126,0.187,8,reviewed,us,us
2023-07-21T02:14:18.450Z,-15.4303,-72.0354,128.556,4.4,mb,33,88,3.259,0.77,us,us7000khb9,2023-09-28T21:34:02.040Z,"southern Peru",earthquake,10.14,6,0.073,54,reviewed,us,us
2023-06-06T17:53:22.213Z,-15.8589,-72.2625,10,4.4,mb,38,92,3.1,0.61,us,us7000k6p0,2023-08-12T17:15:05.040Z,"19 km S of Ayo, Peru",earthquake,8.78,1.263,0.112,25,reviewed,us,us
2023-06-05T13:25:15.423Z,-15.7861,-71.8108,10,4.3,mb,30,133,2.865,0.86,us,us7000k6ek,2023-08-12T17:15:03.040Z,"southern Peru",earthquake,7.96,1.593,0.188,8,reviewed,us,us
2023-06-05T12:43:38.669Z,-15.8336,-72.0772,10.24,4.8,mb,44,140,3.02,0.75,us,us7000k6e9,2023-08-12T17:15:03.040Z,"11 km SSE of Huambo, Peru",earthquake,10.09,4.704,0.075,55,reviewed,us,us
2023-06-05T11:55:30.521Z,-15.8993,-72.0405,10,5,mb,67,125,2.946,0.68,us,us7000k6du,2023-08-12T17:15:03.040Z,"southern Peru",earthquake,8.47,1.863,0.048,138,reviewed,us,us
2023-06-03T07:17:43.482Z,-15.9097,-72.0234,10,4.7,mb,47,142,2.928,1.03,us,us7000k61d,2023-08-05T22:07:52.040Z,"11 km N of Lluta, Peru",earthquake,6.23,1.917,0.081,46,reviewed,us,us
2023-06-03T02:48:12.487Z,-15.8418,-71.9907,10,5,mb,50,146,2.968,1.11,us,us7000k609,2023-08-05T22:07:51.040Z,"17 km SE of Huambo, Peru",earthquake,6.71,1.88,0.068,69,reviewed,us,us
2023-06-03T02:27:39.252Z,-15.8595,-71.7954,10,5.1,mww,68,96,2.858,0.9,us,us7000k603,2023-08-05T22:07:51.040Z,"Arequipa, Peru",earthquake,8.39,1.773,0.068,21,reviewed,us,us
2023-06-03T01:49:15.167Z,-15.6647,-71.5943,10,5.4,mww,72,96,2.946,0.88,us,us7000k5zj,2023-08-05T22:07:50.040Z,"3 km SSE of Chivay, Peru",earthquake,5.17,1.719,0.045,47,reviewed,us,us
2023-05-28T19:08:21.236Z,-15.8145,-72.0539,10,4.9,mb,96,99,3.024,0.73,us,us7000k4nj,2023-08-05T22:07:37.040Z,"10 km SSE of Huambo, Peru",earthquake,9.44,1.807,0.061,84,reviewed,us,us
2023-05-18T11:11:38.881Z,-16.0097,-71.6197,132.643,4.3,mb,35,94,3.364,1.27,us,us6000kcsh,2023-07-24T01:16:16.040Z,"17 km W of Pucara, Peru",earthquake,9.03,4.549,0.122,19,reviewed,us,us
2023-04-05T18:17:37.841Z,-15.6281,-72.2058,10,4.4,mb,52,128,3.259,0.61,us,us6000k270,2023-06-13T03:12:49.040Z,"9 km NE of Ayo, Peru",earthquake,7.37,1.733,0.092,37,reviewed,us,us
2023-02-17T05:15:38.146Z,-15.6616,-72.1834,157.41,4.4,mb,12,151,3.219,0.83,us,us6000jpiz,2023-04-22T21:33:15.040Z,"9 km ENE of Ayo, Peru",earthquake,8.5,14.911,0.268,4,reviewed,us,us
2022-12-08T23:18:58.208Z,-15.7027,-72.2282,10,5,mww,57,106,3.209,0.56,us,us6000j81n,2023-02-11T23:03:18.040Z,"5 km ESE of Ayo, Peru",earthquake,8.77,1.841,0.06,27,reviewed,us,us
2022-10-30T13:03:45.759Z,-15.9824,-71.8862,138.155,4.6,mb,42,128,2.796,0.72,us,us7000ilbn,2023-01-12T23:10:37.040Z,"14 km ENE of Lluta, Peru",earthquake,8.97,7.957,0.109,26,reviewed,us,us
2022-07-27T17:44:08.869Z,-15.8526,-72.2937,9.777,4.5,mb,51,92,3.123,0.75,us,us6000i5yr,2022-10-01T22:09:24.040Z,"19 km S of Ayo, Peru",earthquake,10.38,4.302,0.172,24,reviewed,us,us
2022-05-13T19:01:17.086Z,-15.6837,-72.0376,128.51,4,mb,22,128,3.098,0.65,us,us6000hmd5,2022-07-22T18:31:01.040Z,"9 km NE of Huambo, Peru",earthquake,5,9.2,0.26,5,reviewed,us,us
2022-03-25T00:56:22.578Z,-15.584,-71.6312,125.35,5.3,mww,,79,2.869,1.05,us,us7000gx3t,2022-05-28T18:35:34.040Z,"6 km NNW of Chivay, Peru",earthquake,8.6,4,0.038,66,reviewed,us,us
2022-03-17T09:38:42.353Z,-15.8854,-71.9128,10,4.6,mb,,131,2.892,0.83,us,us6000h5c6,2022-05-27T14:55:31.040Z,"17 km NE of Lluta, Peru",earthquake,7.6,1.8,0.119,21,reviewed,us,us
2022-03-16T06:06:36.198Z,-15.6703,-71.8843,12.32,5.5,mww,,93,2.992,1.01,us,us6000h4z7,2022-05-27T14:55:19.040Z,"10 km SW of Madrigal, Peru",earthquake,8,1.3,0.045,48,reviewed,us,us
2022-03-16T04:54:08.761Z,-16.1224,-72.1049,10,4.2,mb,,142,2.799,0.78,us,us6000h4yz,2022-05-27T14:55:28.040Z,"Near the coast of southern Peru",earthquake,4.7,1.9,0.166,11,reviewed,us,us
2022-03-15T10:20:08.046Z,-15.7764,-71.9649,10,4.7,mb,,127,2.987,0.82,us,us6000h4nn,2022-08-06T08:44:43.046Z,"16 km ESE of Huambo, Peru",earthquake,7,1.9,0.065,72,reviewed,us,us
2022-03-06T13:42:31.907Z,-15.8686,-71.6525,136.99,3.9,mb,,127,2.694,0.57,us,us6000h2jf,2022-05-14T21:52:18.040Z,"23 km WSW of Huarancante, Peru",earthquake,10.8,9.1,0.23,6,reviewed,us,us
2022-02-17T04:29:55.899Z,-15.7769,-72.0496,127.7,4.1,mb,,149,3.051,0.55,us,us7000glkg,2022-04-30T14:18:21.040Z,"8 km SE of Huambo, Peru",earthquake,14.2,11.2,0.214,6,reviewed,us,us
2021-12-09T04:48:57.438Z,-15.7337,-71.841,111.17,4.4,mb,,127,2.92,0.94,us,us6000gar5,2022-02-12T23:07:07.040Z,"12 km SW of Maca, Peru",earthquake,8.1,7,0.101,28,reviewed,us,us
2021-10-12T04:00:04.908Z,-15.6788,-71.9801,10,4.9,mb,,127,3.058,0.93,us,us6000ftwb,2021-12-18T19:58:57.040Z,"11 km SSW of Tapay, Peru",earthquake,7.6,1.8,0.052,122,reviewed,us,us
2021-10-10T00:46:59.140Z,-15.8445,-72.2282,7.74,4.5,mb,,130,3.092,0.61,us,us6000ful5,2021-12-18T19:58:45.040Z,"18 km SW of Huambo, Peru",earthquake,7.2,3.9,0.181,9,reviewed,us,us
2021-10-09T23:11:00.241Z,-15.6179,-72.1907,10,4.4,mb,,94,3.255,0.77,us,us6000fte6,2021-12-18T19:58:45.040Z,"8 km SW of Choco, Peru",earthquake,7.4,1.9,0.098,30,reviewed,us,us
2021-10-09T17:55:34.113Z,-15.6636,-71.759,10,4.5,mb,,126,2.905,0.87,us,us6000ftcj,2021-12-18T19:58:43.040Z,"2 km SSE of Maca, Peru",earthquake,6.7,1.8,0.074,54,reviewed,us,us
2021-10-09T14:31:20.295Z,-15.6963,-72.2077,10,4.5,mb,,128,3.203,0.92,us,us6000ftbc,2021-12-18T19:58:43.040Z,"7 km ESE of Ayo, Peru",earthquake,10,1.9,0.106,26,reviewed,us,us
2021-10-09T13:23:26.116Z,-15.6349,-72.1418,10,4.3,mb,,128,3.207,1.29,us,us6000ftau,2021-12-18T19:58:42.040Z,"6 km S of Choco, Peru",earthquake,7.9,1.9,0.1,28,reviewed,us,us
2021-10-09T05:50:11.571Z,-15.5975,-71.6721,10,4.7,mb,,140,2.888,0.51,us,us6000ft78,2021-12-18T19:58:41.040Z,"6 km NNE of Ichupampa, Peru",earthquake,9.8,1.9,0.083,44,reviewed,us,us
2021-10-09T05:21:00.488Z,-15.6174,-71.9422,10,4.3,mb,,128,3.068,0.83,us,us6000ft6t,2021-12-18T19:58:40.040Z,"4 km S of Tapay, Peru",earthquake,7.4,2,0.147,13,reviewed,us,us
2021-10-09T04:47:49.129Z,-15.5828,-71.8421,14.16,5.7,mww,,92,3.018,1.27,us,us6000ft6j,2021-12-18T19:58:40.040Z,"4 km NW of Madrigal, Peru",earthquake,7,3,0.04,61,reviewed,us,us
2021-10-08T09:27:59.659Z,-15.9732,-72.1475,10,4.2,mb,,174,2.943,0.91,us,us6000fsxb,2021-12-18T19:58:38.040Z,"14 km WNW of Lluta, Peru",earthquake,10.7,2,0.158,11,reviewed,us,us
2021-09-19T03:21:29.550Z,-15.7528,-72.0576,10,4.6,mb,,133,3.072,1.02,us,us7000fcjr,2021-12-03T15:01:31.040Z,"5 km ESE of Huambo, Peru",earthquake,13.1,1.9,0.085,45,reviewed,us,us
2021-09-04T09:07:30.833Z,-15.8466,-72.0427,17.16,4.3,mb,,129,2.991,0.56,us,us7000f7v6,2021-11-17T17:20:46.040Z,"14 km SSE of Huambo, Peru",earthquake,7.1,5.8,0.122,19,reviewed,us,us
2021-07-25T22:45:29.971Z,-16.0179,-71.7987,166.41,4.1,mb,,131,2.715,0.46,us,us6000ez14,2021-10-03T05:22:02.040Z,"23 km E of Lluta, Peru",earthquake,9.8,21,0.37,2,reviewed,us,us
2021-07-20T15:42:34.539Z,-15.5874,-72.1546,124.83,4.1,mb,,135,3.246,0.59,us,us7000enqu,2021-09-25T21:08:19.040Z,"2 km WSW of Choco, Peru",earthquake,10.4,20.6,0.3,3,reviewed,us,us
2021-07-11T14:46:28.992Z,-15.611,-71.5391,125.79,4.7,mb,,145,2.787,0.74,us,us6000eue9,2021-09-17T22:49:38.040Z,"7 km ENE of Chivay, Peru",earthquake,9.3,3.4,0.049,126,reviewed,us,us
2021-06-24T23:02:56.820Z,-15.5729,-72.0706,134.46,4.3,mb,,130,3.192,1.22,us,us6000eqvt,2021-08-27T18:59:00.040Z,"6 km E of Choco, Peru",earthquake,3.9,14.1,0.188,8,reviewed,us,us
2021-04-18T04:55:29.621Z,-15.8799,-72.2021,10,4.1,mb,,162,3.049,0.85,us,us6000e2jd,2021-07-03T16:48:04.040Z,"19 km SSW of Huambo, Peru",earthquake,7.2,1.9,0.234,5,reviewed,us,us
2021-03-26T05:19:33.747Z,-15.7487,-71.5275,149.96,4.4,mb,,210,2.683,1.06,us,us6000dwkn,2021-06-08T17:58:30.040Z,"7 km WNW of Huarancante, Peru",earthquake,13,9.2,0.126,18,reviewed,us,us
2021-02-10T03:10:34.812Z,-15.5175,-71.7284,143.06,4.2,mb,,125,2.982,0.97,us,us6000dg3s,2021-04-22T21:52:15.040Z,"13 km NE of Madrigal, Peru",earthquake,9.1,7.6,0.102,27,reviewed,us,us
2020-12-20T16:36:49.724Z,-15.4757,-71.7612,112.91,4.6,mb,,147,3.183,0.58,us,us6000d284,2021-02-27T23:24:06.040Z,"15 km NNE of Madrigal, Peru",earthquake,8.3,8.7,0.223,9,reviewed,us,us
2020-08-14T20:34:35.468Z,-15.7132,-72.1145,10,5,mww,,74,3.14,0.88,us,us6000beyh,2022-08-08T23:56:40.278Z,"2 km NNW of Huambo, Peru",earthquake,7.9,1.8,0.093,11,reviewed,us,us
2020-06-29T02:42:27.864Z,-15.9797,-71.8308,120.03,4.4,mb,,133,2.762,1.34,us,us7000ae0p,2020-09-05T17:35:31.040Z,"20 km E of Lluta, Peru",earthquake,10.2,7.4,0.098,30,reviewed,us,us
2020-04-29T04:38:35.607Z,-16.2065,-71.8499,293.51,4.3,mb,,142,2.8,0.87,us,us70009afq,2020-07-18T21:57:37.040Z,"18 km WNW of Yura, Peru",earthquake,11.4,9.8,0.237,5,reviewed,us,us
2020-04-17T08:15:46.353Z,-15.4357,-72.0479,118.47,4.2,mb,,145,3.264,1.08,us,us70008yae,2020-07-09T14:31:18.040Z,"17 km NNE of Choco, Peru",earthquake,11.8,9.3,0.153,12,reviewed,us,us
2020-04-13T21:38:46.629Z,-15.8021,-71.8461,67.42,4.3,mb,,127,2.881,1.33,us,us700090hq,2020-06-30T14:03:17.040Z,"19 km SSW of Maca, Peru",earthquake,10.1,7.7,0.218,6,reviewed,us,us
2019-12-09T15:43:43.631Z,-15.6417,-71.6791,133.55,4.8,mb,,125,2.863,1.14,us,us60006p89,2020-02-29T19:52:43.040Z,"1 km NE of Ichupampa, Peru",earthquake,7.6,7,0.076,64,reviewed,us,us
2019-12-01T01:34:15.596Z,-15.8821,-72.1949,114.69,4.2,mb,,141,3.043,1.01,us,us70006ewr,2020-02-19T18:58:26.040Z,"19 km SSW of Huambo, Peru",earthquake,4.7,10.9,0.186,8,reviewed,us,us
2019-06-04T02:04:15.800Z,-15.7796,-71.5716,90.81,4.2,mb,,176,2.694,0.71,us,us70003yh5,2019-08-27T17:47:25.040Z,"12 km W of Huarancante, Peru",earthquake,11.6,10.3,0.141,14,reviewed,us,us
2019-05-26T23:42:19.238Z,-16.0473,-72.1059,12.55,4.3,mwr,,131,2.86,0.99,us,us70003v9y,2019-08-13T14:30:51.040Z,"10 km WSW of Lluta, Peru",earthquake,7.7,7,0.086,13,reviewed,us,us
2019-05-21T13:37:39.241Z,-15.8258,-72.0107,8.33,4.9,mww,,147,2.992,0.7,us,us70003nxk,2019-08-13T14:30:46.040Z,"14 km SE of Huambo, Peru",earthquake,7.7,4.9,0.066,22,reviewed,us,us
2019-05-21T12:55:31.213Z,-15.7813,-72.0183,10,4.7,mb,,136,3.025,0.78,us,us70003nx8,2019-08-13T14:30:46.040Z,"11 km ESE of Huambo, Peru",earthquake,9.2,1.8,0.046,142,reviewed,us,us
2019-01-13T16:53:11.960Z,-15.8636,-71.9032,117.72,4.3,mb,,129,2.887,1.26,us,us2000j3jc,2019-04-02T20:52:43.040Z,"20 km NE of Lluta, Peru",earthquake,9.4,16.1,0.116,21,reviewed,us,us
2018-10-24T07:37:44.400Z,-15.3862,-72.0527,102.4,4.4,mb,,126,3.3,1.06,us,us1000hgew,2019-01-10T17:18:35.040Z,"22 km NNE of Choco, Peru",earthquake,8.9,8.8,0.063,72,reviewed,us,us
2018-10-05T14:32:48.560Z,-15.9882,-71.8717,114.88,4.4,mb,,149,2.784,1.26,us,us1000hanc,2018-12-14T20:32:46.040Z,"16 km W of Lluta, Peru",earthquake,10.9,9,0.143,14,reviewed,us,us
2018-08-20T06:13:17.200Z,-15.6147,-71.9994,10,4.5,mb,,126,3.113,0.93,us,us1000gdqr,2022-08-08T07:19:55.852Z,"7 km WSW of Tapay, Peru",earthquake,7.8,1.9,0.085,41,reviewed,us,us
2018-07-22T16:27:41.960Z,-15.5656,-72.0332,104.92,4.3,mb,,127,3.225,1.05,us,us2000geks,2018-10-04T14:15:23.040Z,"10 km W of Tapay, Peru",earthquake,7.9,6.9,0.153,12,reviewed,us,us
